17:38:13 INFO  run runs/extreme-full-3.8M-d96h4-b64 | device=cuda | params=229752 | d96/h4 budget 64 preset extreme-full budget_scale 0.500
17:41:05 INFO  step    100 | loss 2.1707 | cell 0.112 | grid 0.000 | stop 64.0 | 0.6 it/s
17:44:01 INFO  step    200 | loss 1.4580 | cell 0.113 | grid 0.000 | stop 64.0 | 0.6 it/s
17:48:17 INFO  step    300 | loss 1.4635 | cell 0.137 | grid 0.000 | stop 64.0 | 0.5 it/s
17:52:32 INFO  step    400 | loss 1.4244 | cell 0.195 | grid 0.000 | stop 64.0 | 0.5 it/s
17:56:46 INFO  step    500 | loss 1.4143 | cell 0.218 | grid 0.000 | stop 64.0 | 0.4 it/s
17:57:05 INFO  eval  step    500 | solved 0.0000 | finished 0.00 | passes 64.00
18:00:59 INFO  step    600 | loss 1.3793 | cell 0.242 | grid 0.000 | stop 64.0 | 0.4 it/s
18:04:27 INFO  step    700 | loss 1.3676 | cell 0.265 | grid 0.000 | stop 64.0 | 0.4 it/s
18:07:54 INFO  step    800 | loss 1.3229 | cell 0.307 | grid 0.000 | stop 64.0 | 0.4 it/s
18:11:19 INFO  step    900 | loss 1.3000 | cell 0.306 | grid 0.000 | stop 64.0 | 0.5 it/s
